# Flight Simulation Results - CJ1 Tamarack
# Route: KSZT to KSAN
# Initial Fuel: 3357 lb
# Payload: 364 lb
# Cruise Altitude: 37000 ft
# Winds/Temps Source: No Wind
# Generated: 2025-12-03 07:54:12
# Original Data Points: 1499
# Sampled Data Points (5-sec intervals): 1499
# Time Range: 0 - 13060 seconds
# Exact 5-second intervals, no skipped rows
# 
Time (s),Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),Segment,Segment Title
0,2131,0.0,1,1,0,3695,159,10600,3257,0,0.001,0.0,0,Takeoff Roll
5,2131,0.0,31,31,0,3577,179,10596,3253,2564,0.047,0.0,0,Takeoff Roll
10,2131,0.1,61,60,0,3462,238,10593,3250,2533,0.093,0.0,0,Takeoff Roll
15,2131,0.2,89,88,0,3356,329,10589,3246,2453,0.135,0.0,0,Takeoff Roll
20,2235,0.3,111,109,1600,3269,740,10586,3243,2572,0.168,24.6,2,35 ft to 400 ft
25,2369,0.5,111,109,1598,3259,739,10583,3240,2349,0.168,24.5,2,35 ft to 400 ft
30,2502,0.7,111,109,1596,3248,739,10579,3236,2342,0.169,24.4,2,35 ft to 400 ft
35,2638,0.8,111,109,1659,3238,638,10576,3233,2334,0.169,25.4,3,400 ft to 1500 ft
40,2776,1.0,112,109,1657,3227,638,10573,3230,2327,0.17,25.3,3,400 ft to 1500 ft
45,2914,1.1,112,109,1655,3216,638,10570,3227,2319,0.17,25.2,3,400 ft to 1500 ft
50,3052,1.3,112,109,1652,3205,638,10566,3223,2311,0.171,25.1,3,400 ft to 1500 ft
55,3189,1.4,112,109,1650,3195,637,10563,3220,2303,0.171,25.0,3,400 ft to 1500 ft
60,3327,1.6,113,109,1648,3184,637,10560,3217,2296,0.172,24.9,3,400 ft to 1500 ft
65,3464,1.7,113,109,1645,3173,637,10557,3214,2288,0.172,24.7,3,400 ft to 1500 ft
70,3601,1.9,113,109,1643,3163,637,10554,3211,2280,0.173,24.6,3,400 ft to 1500 ft
75,3744,2.1,127,122,1818,3121,627,10551,3208,2266,0.194,24.3,4,Climb (IAS)
80,3907,2.3,149,143,2033,3035,657,10548,3205,2210,0.228,23.1,4,Climb (IAS)
85,4083,2.5,170,162,2162,2955,732,10545,3202,2150,0.259,21.6,4,Climb (IAS)
90,4267,2.7,189,180,2218,2882,832,10542,3199,2096,0.289,19.8,4,Climb (IAS)
95,4448,3.0,190,180,2177,2857,855,10539,3196,2061,0.291,19.3,4,Climb (IAS)
100,4629,3.3,190,180,2170,2844,855,10536,3193,2051,0.292,19.2,4,Climb (IAS)
105,4810,3.5,191,180,2164,2831,855,10533,3190,2042,0.293,19.1,4,Climb (IAS)
110,4990,3.8,192,180,2157,2818,855,10530,3187,2033,0.294,19.0,4,Climb (IAS)
115,5169,4.1,192,180,2151,2805,855,10527,3184,2024,0.295,18.9,4,Climb (IAS)
120,5348,4.3,193,180,2144,2792,854,10525,3182,2014,0.297,18.7,4,Climb (IAS)
125,5526,4.6,194,180,2137,2780,854,10522,3179,2005,0.298,18.6,4,Climb (IAS)
130,5704,4.9,194,180,2131,2767,854,10519,3176,1996,0.299,18.5,4,Climb (IAS)
135,5881,5.1,195,180,2124,2754,854,10516,3173,1987,0.3,18.4,4,Climb (IAS)
140,6058,5.4,195,180,2117,2741,854,10514,3171,1977,0.301,18.2,4,Climb (IAS)
145,6234,5.7,196,180,2110,2729,854,10511,3168,1968,0.303,18.1,4,Climb (IAS)
150,6410,6.0,197,180,2103,2716,853,10508,3165,1959,0.304,18.0,4,Climb (IAS)
155,6584,6.2,197,180,2096,2703,853,10505,3162,1950,0.305,17.9,4,Climb (IAS)
160,6759,6.5,198,180,2089,2691,853,10503,3160,1941,0.306,17.8,4,Climb (IAS)
165,6933,6.8,199,180,2082,2678,853,10500,3157,1932,0.308,17.7,4,Climb (IAS)
170,7106,7.1,199,180,2075,2666,853,10497,3154,1923,0.309,17.5,4,Climb (IAS)
175,7278,7.3,200,180,2068,2653,852,10495,3152,1914,0.31,17.4,4,Climb (IAS)
180,7450,7.6,201,180,2061,2641,852,10492,3149,1905,0.311,17.3,4,Climb (IAS)
185,7622,7.9,201,180,2054,2629,852,10489,3146,1896,0.312,17.2,4,Climb (IAS)
190,7793,8.2,202,180,2047,2616,852,10487,3144,1887,0.314,17.1,4,Climb (IAS)
195,7963,8.5,202,180,2040,2604,852,10484,3141,1878,0.315,17.0,4,Climb (IAS)
200,8133,8.7,203,180,2033,2592,852,10482,3139,1870,0.316,16.8,4,Climb (IAS)
205,8302,9.0,204,180,2025,2580,851,10479,3136,1861,0.317,16.7,4,Climb (IAS)
210,8470,9.3,204,180,2018,2567,851,10476,3133,1852,0.319,16.6,4,Climb (IAS)
215,8638,9.6,205,180,2011,2555,851,10474,3131,1843,0.32,16.5,4,Climb (IAS)
220,8805,9.9,206,180,2003,2543,851,10471,3128,1835,0.321,16.4,4,Climb (IAS)
225,8972,10.2,206,180,1996,2531,851,10469,3126,1826,0.322,16.3,4,Climb (IAS)
230,9137,10.4,207,180,1989,2519,850,10466,3123,1817,0.324,16.2,4,Climb (IAS)
