aircraft,mod,flap,isa_dev,mach,cruise_alt,payload,total_dist_nm
CJ1,Flatwing,0,-10,0.65,41000,0,930.0708916680959
CJ1,Flatwing,0,-10,0.64,41000,0,930.380291500345
CJ1,Flatwing,0,-10,0.63,41000,0,929.6985329753343
CJ1,Flatwing,0,-10,0.62,41000,0,930.0448992908447
CJ1,Flatwing,0,-10,0.65,39000,0,936.7994794308871
CJ1,Flatwing,0,-10,0.64,39000,0,935.9892816096731
CJ1,Flatwing,0,-10,0.63,39000,0,936.7281697256467
CJ1,Flatwing,0,-10,0.62,39000,0,935.9748429604515
CJ1,Flatwing,0,-10,0.65,37000,0,936.5175746771349
CJ1,Flatwing,0,-10,0.64,37000,0,936.6675154644414
CJ1,Flatwing,0,-10,0.63,37000,0,936.1488401018053
CJ1,Flatwing,0,-10,0.62,37000,0,936.1653081801543
CJ1,Flatwing,0,0,0.65,41000,0,924.9694155572814
CJ1,Flatwing,0,0,0.64,41000,0,925.6379185668402
CJ1,Flatwing,0,0,0.63,41000,0,925.1400807221736
CJ1,Flatwing,0,0,0.62,41000,0,925.1084456610125
CJ1,Flatwing,0,0,0.65,39000,0,931.1852402174457
CJ1,Flatwing,0,0,0.64,39000,0,931.7583056669891
CJ1,Flatwing,0,0,0.63,39000,0,931.1650202338562
CJ1,Flatwing,0,0,0.62,39000,0,931.0379334593986
CJ1,Flatwing,0,0,0.65,37000,0,937.3979622247692
CJ1,Flatwing,0,0,0.64,37000,0,937.878687576254
CJ1,Flatwing,0,0,0.63,37000,0,937.1899609162066
CJ1,Flatwing,0,0,0.62,37000,0,936.9674223706864
CJ1,Tamarack,0,-10,0.65,41000,0,937.4139399068072
CJ1,Tamarack,0,-10,0.64,41000,0,936.7062435624846
CJ1,Tamarack,0,-10,0.63,41000,0,937.0891496053005
CJ1,Tamarack,0,-10,0.62,41000,0,936.9786762372594
CJ1,Tamarack,0,-10,0.65,39000,0,936.9490726085701
CJ1,Tamarack,0,-10,0.64,39000,0,937.0869586104241
CJ1,Tamarack,0,-10,0.63,39000,0,936.7926124766427
CJ1,Tamarack,0,-10,0.62,39000,0,937.0838961941865
CJ1,Tamarack,0,-10,0.65,37000,0,937.1567136992717
CJ1,Tamarack,0,-10,0.64,37000,0,937.3464764711003
CJ1,Tamarack,0,-10,0.63,37000,0,936.618549541487
CJ1,Tamarack,0,-10,0.62,37000,0,936.4945760187841
CJ1,Tamarack,0,0,0.65,41000,0,938.910779101521
CJ1,Tamarack,0,0,0.64,41000,0,938.8362161110035
CJ1,Tamarack,0,0,0.63,41000,0,938.5463237112654
CJ1,Tamarack,0,0,0.62,41000,0,938.3244424753876
CJ1,Tamarack,0,0,0.65,39000,0,938.1890502841088
CJ1,Tamarack,0,0,0.64,39000,0,938.0640126091173
CJ1,Tamarack,0,0,0.63,39000,0,937.9828407984968
CJ1,Tamarack,0,0,0.62,39000,0,938.4679688590201
CJ1,Tamarack,0,0,0.65,37000,0,937.8972829251796
CJ1,Tamarack,0,0,0.64,37000,0,937.7382403326624
CJ1,Tamarack,0,0,0.63,37000,0,937.6706408004594
CJ1,Tamarack,0,0,0.62,37000,0,938.1848431847667
