# Flight Simulation Results - CJ1 Tamarack
# Route: KSZT to KSAN
# Initial Fuel: 3440 lb
# Payload: 0 lb
# Cruise Altitude: 33000 ft
# Winds/Temps Source: No Wind
# Generated: 2025-11-25 21:09:30
# Original Data Points: 1172
# Sampled Data Points (5-sec intervals): 1172
# Time Range: 0 - 10444 seconds
# Exact 5-second intervals, no skipped rows
# 
Time (s),Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),Segment,Segment Title
0,2131,0.0,1,1,0,3863,155,10319,3340,0,0.001,0.0,0,Takeoff Roll
5,2131,0.0,34,34,0,3725,180,10315,3336,2676,0.05,0.0,0,Takeoff Roll
10,2131,0.1,65,67,0,3593,252,10312,3333,2633,0.098,0.0,0,Takeoff Roll
15,2156,0.2,92,94,1527,3487,682,10308,3329,2543,0.139,28.3,1,VR to 35 ft
20,2284,0.3,93,94,1528,3470,671,10305,3326,2502,0.139,28.2,1,VR to 35 ft
25,2411,0.5,93,94,1526,3460,671,10301,3322,2495,0.14,28.1,1,VR to 35 ft
30,2538,0.6,93,94,1525,3450,671,10298,3319,2487,0.14,28.0,1,VR to 35 ft
35,2665,0.7,93,94,1524,3440,670,10294,3315,2480,0.141,27.9,1,VR to 35 ft
40,2792,0.9,93,94,1522,3430,670,10291,3312,2473,0.141,27.8,1,VR to 35 ft
45,2919,1.0,94,94,1521,3420,670,10287,3308,2466,0.141,27.7,1,VR to 35 ft
50,3045,1.1,94,94,1519,3410,670,10284,3305,2459,0.142,27.7,1,VR to 35 ft
55,3172,1.2,94,94,1518,3400,669,10280,3301,2452,0.142,27.6,1,VR to 35 ft
60,3298,1.4,94,94,1516,3391,669,10277,3298,2444,0.142,27.5,1,VR to 35 ft
65,3441,1.5,103,103,1656,3361,644,10273,3294,2678,0.156,27.4,3,400 ft to 1500 ft
70,3579,1.7,103,103,1653,3337,631,10270,3291,2406,0.156,27.3,3,400 ft to 1500 ft
75,3724,1.8,118,118,1874,3289,612,10267,3288,2390,0.179,27.0,4,Climb (IAS)
80,3895,2.0,143,141,2147,3188,640,10263,3284,2324,0.216,25.6,4,Climb (IAS)
85,4082,2.2,165,163,2308,3094,728,10260,3281,2254,0.251,23.7,4,Climb (IAS)
90,4278,2.5,183,180,2330,3009,846,10257,3278,2190,0.277,21.6,4,Climb (IAS)
95,4471,2.7,183,180,2319,2994,849,10254,3275,2159,0.279,21.4,4,Climb (IAS)
100,4664,3.0,184,180,2312,2980,849,10251,3272,2149,0.28,21.2,4,Climb (IAS)
105,4856,3.2,185,180,2306,2966,849,10248,3269,2139,0.281,21.1,4,Climb (IAS)
110,5048,3.5,185,180,2300,2952,848,10245,3266,2130,0.282,21.0,4,Climb (IAS)
115,5240,3.7,186,180,2293,2939,848,10242,3263,2120,0.283,20.8,4,Climb (IAS)
120,5430,4.0,187,180,2287,2925,848,10240,3261,2110,0.285,20.7,4,Climb (IAS)
125,5621,4.3,187,180,2280,2911,848,10237,3258,2100,0.286,20.6,4,Climb (IAS)
130,5810,4.5,188,180,2273,2898,848,10234,3255,2090,0.287,20.4,4,Climb (IAS)
135,5999,4.8,189,180,2267,2884,848,10231,3252,2080,0.288,20.3,4,Climb (IAS)
140,6188,5.0,189,180,2260,2870,847,10228,3249,2071,0.289,20.2,4,Climb (IAS)
145,6376,5.3,190,180,2253,2857,847,10225,3246,2061,0.291,20.0,4,Climb (IAS)
150,6563,5.6,190,180,2246,2844,847,10222,3243,2051,0.292,19.9,4,Climb (IAS)
155,6750,5.8,191,180,2239,2830,847,10219,3240,2042,0.293,19.8,4,Climb (IAS)
160,6936,6.1,192,180,2232,2817,847,10217,3238,2032,0.294,19.6,4,Climb (IAS)
165,7122,6.4,192,180,2225,2803,847,10214,3235,2022,0.296,19.5,4,Climb (IAS)
170,7307,6.6,193,180,2218,2790,846,10211,3232,2013,0.297,19.4,4,Climb (IAS)
175,7492,6.9,194,180,2211,2777,846,10208,3229,2003,0.298,19.3,4,Climb (IAS)
180,7676,7.2,194,180,2204,2763,846,10205,3226,1994,0.299,19.1,4,Climb (IAS)
185,7859,7.4,195,180,2197,2750,846,10203,3224,1984,0.301,19.0,4,Climb (IAS)
190,8042,7.7,196,180,2190,2737,846,10200,3221,1974,0.302,18.9,4,Climb (IAS)
195,8224,8.0,196,180,2182,2724,845,10197,3218,1965,0.303,18.7,4,Climb (IAS)
200,8405,8.3,197,180,2175,2711,845,10194,3215,1956,0.304,18.6,4,Climb (IAS)
205,8586,8.5,198,180,2168,2698,845,10192,3213,1946,0.306,18.5,4,Climb (IAS)
210,8766,8.8,198,180,2160,2685,845,10189,3210,1937,0.307,18.4,4,Climb (IAS)
215,8946,9.1,199,180,2153,2672,845,10186,3207,1928,0.308,18.2,4,Climb (IAS)
220,9125,9.4,200,180,2145,2659,845,10184,3205,1918,0.309,18.1,4,Climb (IAS)
225,9304,9.6,200,180,2138,2646,844,10181,3202,1909,0.311,18.0,4,Climb (IAS)
230,9481,9.9,201,180,2130,2633,844,10178,3199,1900,0.312,17.9,4,Climb (IAS)
236,9658,10.2,202,180,2123,2621,844,10176,3197,1890,0.313,17.7,4,Climb (IAS)
240,9835,10.5,202,180,2115,2608,844,10173,3194,1881,0.315,17.6,4,Climb (IAS)
245,10011,10.8,203,180,2107,2595,844,10171,3192,1872,0.316,17.5,4,Climb (IAS)
250,10186,11.0,204,180,2100,2583,843,10168,3189,1863,0.317,17.4,4,Climb (IAS)
255,10361,11.3,204,180,2092,2570,843,10165,3186,1854,0.318,17.2,4,Climb (IAS)
260,10535,11.6,205,180,2084,2557,843,10163,3184,1845,0.32,17.1,4,Climb (IAS)
266,10708,11.9,206,180,2076,2545,843,10160,3181,1836,0.321,17.0,4,Climb (IAS)
270,10880,12.2,206,180,2068,2533,843,10158,3179,1827,0.322,16.9,4,Climb (IAS)
276,11052,12.5,207,180,2060,2520,843,10155,3176,1818,0.324,16.7,4,Climb (IAS)
280,11224,12.8,208,180,2052,2508,842,10153,3174,1809,0.325,16.6,4,Climb (IAS)
286,11394,13.1,208,180,2044,2496,842,10150,3171,1800,0.326,16.5,4,Climb (IAS)
290,11564,13.3,209,180,2036,2483,842,10148,3169,1792,0.327,16.4,4,Climb (IAS)
296,11734,13.6,210,180,2028,2471,842,10145,3166,1783,0.329,16.3,4,Climb (IAS)
300,11902,13.9,210,180,2020,2459,842,10143,3164,1774,0.33,16.2,4,Climb (IAS)
306,12070,14.2,211,180,2012,2447,841,10140,3161,1765,0.331,16.0,4,Climb (IAS)
