# Flight Simulation Results - CJ1 Tamarack
# Route: KSZT to KSAN
# Initial Fuel: 3440 lb
# Payload: 0 lb
# Cruise Altitude: 41000 ft
# Winds/Temps Source: No Wind
# Generated: 2025-11-25 10:04:38
# Original Data Points: 2018
# Sampled Data Points (5-sec intervals): 2018
# Time Range: 0 - 10085 seconds
# Exact 5-second intervals, no skipped rows
# 
Time (s),Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%)
0,2131,0.0,1,1,0,3863,155,10319,3340,0,0.001,0.0
5,2131,0.0,34,34,0,3725,180,10315,3336,2676,0.05,0.0
10,2131,0.1,65,67,0,3593,252,10312,3333,2633,0.098,0.0
15,2156,0.2,92,94,1527,3487,682,10308,3329,2543,0.139,28.3
20,2284,0.3,93,94,1528,3470,671,10305,3326,2502,0.139,28.2
25,2411,0.5,93,94,1526,3460,671,10301,3322,2495,0.14,28.1
30,2538,0.6,93,94,1525,3450,671,10298,3319,2487,0.14,28.0
35,2665,0.7,93,94,1524,3440,670,10294,3315,2480,0.141,27.9
40,2792,0.9,93,94,1522,3430,670,10291,3312,2473,0.141,27.8
45,2919,1.0,94,94,1521,3420,670,10287,3308,2466,0.141,27.7
50,3045,1.1,94,94,1519,3410,670,10284,3305,2459,0.142,27.7
55,3172,1.2,94,94,1518,3400,669,10280,3301,2452,0.142,27.6
60,3298,1.4,94,94,1516,3391,669,10277,3298,2444,0.142,27.5
65,3441,1.5,103,103,1656,3361,644,10273,3294,2678,0.156,27.4
70,3579,1.7,103,103,1653,3337,631,10270,3291,2406,0.156,27.3
75,3724,1.8,118,118,1874,3289,612,10267,3288,2390,0.179,27.0
80,3895,2.0,143,141,2147,3188,640,10263,3284,2324,0.216,25.6
85,4082,2.2,165,163,2308,3094,728,10260,3281,2254,0.251,23.7
90,4278,2.5,183,180,2330,3009,846,10257,3278,2190,0.277,21.6
95,4471,2.7,183,180,2319,2994,849,10254,3275,2159,0.279,21.4
100,4664,3.0,184,180,2312,2980,849,10251,3272,2149,0.28,21.2
105,4856,3.2,185,180,2306,2966,849,10248,3269,2139,0.281,21.1
110,5048,3.5,185,180,2300,2952,848,10245,3266,2130,0.282,21.0
115,5240,3.7,186,180,2293,2939,848,10242,3263,2120,0.283,20.8
120,5430,4.0,187,180,2287,2925,848,10240,3261,2110,0.285,20.7
125,5621,4.3,187,180,2280,2911,848,10237,3258,2100,0.286,20.6
130,5810,4.5,188,180,2273,2898,848,10234,3255,2090,0.287,20.4
135,5999,4.8,189,180,2267,2884,848,10231,3252,2080,0.288,20.3
140,6188,5.0,189,180,2260,2870,847,10228,3249,2071,0.289,20.2
