aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,cruise_mode,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
CJ1,Flatwing,0,0,41000,0.0,0,100,600,False,Max Range,3440,10240,ok,,1216.0,234,2740,37001,328.45712851453425,158.0,37001,True,0.5726956132654875,False,700
CJ1,Flatwing,0,0,41000,0.0,300,100,600,False,Max Range,3440,10540,ok,,1177.0,226,2740,37000,328.45321157558095,162.0,37000,True,0.5726887837173936,False,700
CJ1,Flatwing,0,0,41000,0.0,600,100,600,False,Max Range,3200,10600,ok,,1032.0,199,2500,37005,328.45137049707387,162.0,37005,True,0.572685573625442,False,700
CJ1,Flatwing,0,0,41000,0.0,900,100,600,False,Max Range,2900,10600,ok,,872.0,169,2200,37005,328.43055078557535,163.0,37005,True,0.572649272518206,False,700
CJ1,Flatwing,0,0,41000,0.0,1200,100,600,False,Max Range,2600,10600,ok,,724.0,141,1900,37005,328.43055078557535,166.0,37005,True,0.572649272518206,False,700
CJ1,Flatwing,0,0,41000,0.0,1500,100,600,False,Max Range,2300,10600,ok,,573.0,112,1600,37005,328.43055078557535,167.0,37005,True,0.572649272518206,False,700
CJ1,Flatwing,0,20,41000,0.0,0,100,600,False,Max Range,3440,10240,ok,,1237.0,237,2740,35002,329.3504617601875,159.0,35002,True,0.5742532230311321,False,700
CJ1,Flatwing,0,20,41000,0.0,300,100,600,False,Max Range,3440,10540,ok,,1206.0,231,2740,35001,329.7239255637317,159.0,35001,True,0.5749043919765909,False,700
CJ1,Flatwing,0,20,41000,0.0,600,100,600,False,Max Range,3200,10600,ok,,1066.0,205,2500,35003,329.7276680364434,160.0,35003,True,0.5749109173265337,False,700
CJ1,Flatwing,0,20,41000,0.0,900,100,600,False,Max Range,2900,10600,ok,,900.0,174,2200,35003,329.7276680364434,163.0,35003,True,0.5749109173265337,False,700
CJ1,Flatwing,0,20,41000,0.0,1200,100,600,False,Max Range,2600,10600,ok,,754.0,146,1900,35003,329.7276680364434,164.0,35003,True,0.5749109173265337,False,700
CJ1,Flatwing,0,20,41000,0.0,1500,100,600,False,Max Range,2300,10600,ok,,607.0,118,1600,35003,329.7276680364434,164.0,35003,True,0.5749109173265337,False,700
