aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,cruise_mode,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
CJ1,Flatwing,0,0,41000,0.63,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,954.0,167,2200,37005,361.3228147222247,193.0,37005,True,0.63,False,700
CJ1,Flatwing,0,0,41000,0.63,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,791.0,140,1900,37005,361.3228147222247,193.0,37005,True,0.63,False,700
CJ1,Flatwing,0,0,41000,0.63,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,629.0,113,1600,37005,361.3228147222247,193.0,37005,True,0.63,False,700
CJ1,Flatwing,0,0,41000,0.62,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1285.0,224,2740,37001,355.587531948856,190.0,37001,True,0.62,False,700
CJ1,Flatwing,0,0,41000,0.62,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1264.0,221,2740,37000,355.587531948856,190.0,37000,True,0.62,False,700
CJ1,Flatwing,0,0,41000,0.62,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1126.0,198,2500,37005,355.587531948856,190.0,37005,True,0.62,False,700
CJ1,Flatwing,0,0,41000,0.62,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,960.0,170,2200,37005,355.587531948856,190.0,37005,True,0.62,False,700
CJ1,Flatwing,0,0,41000,0.62,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,795.0,142,1900,37005,355.587531948856,190.0,37005,True,0.62,False,700
CJ1,Flatwing,0,0,41000,0.62,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,632.0,114,1600,37005,355.587531948856,190.0,37005,True,0.62,False,700
CJ1,Flatwing,0,20,41000,0.68,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1288.0,215,2740,35002,380.5112412034098,198.0,35002,True,0.6634568097850121,True,700
CJ1,Flatwing,0,20,41000,0.68,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1273.0,214,2740,35001,378.69610560391453,197.0,35001,True,0.6602919517104918,True,700
CJ1,Flatwing,0,20,41000,0.68,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1138.0,193,2500,35003,376.75128254638355,196.0,35003,True,0.6569009714670039,True,700
CJ1,Flatwing,0,20,41000,0.68,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,975.0,167,2200,35003,374.66983785605515,195.0,35003,True,0.653271778674639,True,700
CJ1,Flatwing,0,20,41000,0.68,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,812.0,141,1900,35003,372.4408444197181,194.0,35003,True,0.6493853208931897,True,700
CJ1,Flatwing,0,20,41000,0.68,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,650.0,115,1600,35003,370.05032635375903,194.0,35003,True,0.6452172298671304,True,700
CJ1,Flatwing,0,20,41000,0.67,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1288.0,215,2740,35002,380.5112412034098,198.0,35002,True,0.6634568097850121,True,700
CJ1,Flatwing,0,20,41000,0.67,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1273.0,214,2740,35001,378.69610560391453,197.0,35001,True,0.6602919517104918,True,700
CJ1,Flatwing,0,20,41000,0.67,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1138.0,193,2500,35003,376.75128254638355,196.0,35003,True,0.6569009714670039,True,700
CJ1,Flatwing,0,20,41000,0.67,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,975.0,167,2200,35003,374.66983785605515,195.0,35003,True,0.653271778674639,True,700
CJ1,Flatwing,0,20,41000,0.67,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,812.0,141,1900,35003,372.4408444197181,194.0,35003,True,0.6493853208931897,True,700
CJ1,Flatwing,0,20,41000,0.67,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,650.0,115,1600,35003,370.05032635375903,194.0,35003,True,0.6452172298671304,True,700
CJ1,Flatwing,0,20,41000,0.66,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1288.0,215,2740,35002,378.5286630423306,198.0,35002,True,0.66,False,700
CJ1,Flatwing,0,20,41000,0.66,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1273.0,214,2740,35001,378.5286630423306,197.0,35001,True,0.66,False,700
CJ1,Flatwing,0,20,41000,0.66,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1138.0,193,2500,35003,376.75128254638355,196.0,35003,True,0.6569009714670039,True,700
CJ1,Flatwing,0,20,41000,0.66,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,975.0,167,2200,35003,374.66983785605515,195.0,35003,True,0.653271778674639,True,700
CJ1,Flatwing,0,20,41000,0.66,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,812.0,141,1900,35003,372.4408444197181,194.0,35003,True,0.6493853208931897,True,700
CJ1,Flatwing,0,20,41000,0.66,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,650.0,115,1600,35003,370.05032635375903,194.0,35003,True,0.6452172298671304,True,700
CJ1,Flatwing,0,20,41000,0.65,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1292.0,217,2740,35002,372.793380268962,197.0,35002,True,0.65,False,700
CJ1,Flatwing,0,20,41000,0.65,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1275.0,215,2740,35001,372.793380268962,197.0,35001,True,0.65,False,700
CJ1,Flatwing,0,20,41000,0.65,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1140.0,194,2500,35003,372.793380268962,196.0,35003,True,0.65,False,700
CJ1,Flatwing,0,20,41000,0.65,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,975.0,167,2200,35003,372.793380268962,195.0,35003,True,0.65,False,700
CJ1,Flatwing,0,20,41000,0.65,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,812.0,141,1900,35003,372.4408444197181,194.0,35003,True,0.6493853208931897,False,700
CJ1,Flatwing,0,20,41000,0.65,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,650.0,115,1600,35003,370.05032635375903,194.0,35003,True,0.6452172298671304,True,700
CJ1,Flatwing,0,20,41000,0.64,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1301.0,221,2740,35002,367.0580974955933,194.0,35002,True,0.64,False,700
CJ1,Flatwing,0,20,41000,0.64,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1282.0,218,2740,35001,367.0580974955933,194.0,35001,True,0.64,False,700
CJ1,Flatwing,0,20,41000,0.64,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1145.0,196,2500,35003,367.0580974955933,194.0,35003,True,0.64,False,700
CJ1,Flatwing,0,20,41000,0.64,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,978.0,169,2200,35003,367.0580974955933,194.0,35003,True,0.64,False,700
CJ1,Flatwing,0,20,41000,0.64,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,813.0,142,1900,35003,367.0580974955933,194.0,35003,True,0.64,False,700
CJ1,Flatwing,0,20,41000,0.64,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,651.0,115,1600,35003,367.0580974955933,194.0,35003,True,0.64,False,700
CJ1,Flatwing,0,20,41000,0.63,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1311.0,225,2740,35002,361.3228147222247,190.0,35002,True,0.63,False,700
CJ1,Flatwing,0,20,41000,0.63,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1290.0,222,2740,35001,361.3228147222247,190.0,35001,True,0.63,False,700
CJ1,Flatwing,0,20,41000,0.63,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1151.0,199,2500,35003,361.3228147222247,190.0,35003,True,0.63,False,700
CJ1,Flatwing,0,20,41000,0.63,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,984.0,171,2200,35003,361.3228147222247,190.0,35003,True,0.63,False,700
CJ1,Flatwing,0,20,41000,0.63,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,818.0,144,1900,35003,361.3228147222247,190.0,35003,True,0.63,False,700
CJ1,Flatwing,0,20,41000,0.63,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,653.0,116,1600,35003,361.3228147222247,190.0,35003,True,0.63,False,700
CJ1,Flatwing,0,20,41000,0.62,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1320.0,230,2740,35002,355.587531948856,187.0,35002,True,0.62,False,700
CJ1,Flatwing,0,20,41000,0.62,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1300.0,227,2740,35001,355.587531948856,187.0,35001,True,0.62,False,700
CJ1,Flatwing,0,20,41000,0.62,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1159.0,203,2500,35003,355.587531948856,187.0,35003,True,0.62,False,700
CJ1,Flatwing,0,20,41000,0.62,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,990.0,174,2200,35003,355.587531948856,187.0,35003,True,0.62,False,700
CJ1,Flatwing,0,20,41000,0.62,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,822.0,146,1900,35003,355.587531948856,187.0,35003,True,0.62,False,700
CJ1,Flatwing,0,20,41000,0.62,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,657.0,118,1600,35003,355.587531948856,187.0,35003,True,0.62,False,700
CJ1,Flatwing,0,0,39000,0.68,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1249.0,209,2740,37001,381.30161907681776,201.0,37001,True,0.6648349072644912,True,700
CJ1,Flatwing,0,0,39000,0.68,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1234.0,208,2740,37000,379.6018589512518,200.0,37000,True,0.6618712170808814,True,700
CJ1,Flatwing,0,0,39000,0.68,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1103.0,187,2500,37005,377.78023914487824,199.0,37005,True,0.6586950531873901,True,700
CJ1,Flatwing,0,0,39000,0.68,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,943.0,162,2200,37005,375.84180284196884,199.0,37005,True,0.6553152088457818,True,700
CJ1,Flatwing,0,0,39000,0.68,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,784.0,136,1900,37005,373.7712965561792,198.0,37005,True,0.6517050881811062,True,700
CJ1,Flatwing,0,0,39000,0.68,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,625.0,111,1600,37005,371.5571606854021,197.0,37005,True,0.6478445359498225,True,700
CJ1,Flatwing,0,0,39000,0.67,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1249.0,209,2740,37001,381.30161907681776,201.0,37001,True,0.6648349072644912,True,700
CJ1,Flatwing,0,0,39000,0.67,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1234.0,208,2740,37000,379.6018589512518,200.0,37000,True,0.6618712170808814,True,700
CJ1,Flatwing,0,0,39000,0.67,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1103.0,187,2500,37005,377.78023914487824,199.0,37005,True,0.6586950531873901,True,700
CJ1,Flatwing,0,0,39000,0.67,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,943.0,162,2200,37005,375.84180284196884,199.0,37005,True,0.6553152088457818,True,700
CJ1,Flatwing,0,0,39000,0.67,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,784.0,136,1900,37005,373.7712965561792,198.0,37005,True,0.6517050881811062,True,700
CJ1,Flatwing,0,0,39000,0.67,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,625.0,111,1600,37005,371.5571606854021,197.0,37005,True,0.6478445359498225,True,700
CJ1,Flatwing,0,0,39000,0.66,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1250.0,209,2740,37001,378.5286630423306,201.0,37001,True,0.66,False,700
CJ1,Flatwing,0,0,39000,0.66,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1234.0,208,2740,37000,378.5286630423306,200.0,37000,True,0.66,False,700
CJ1,Flatwing,0,0,39000,0.66,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1103.0,187,2500,37005,377.78023914487824,199.0,37005,True,0.6586950531873901,True,700
CJ1,Flatwing,0,0,39000,0.66,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,943.0,162,2200,37005,375.84180284196884,199.0,37005,True,0.6553152088457818,True,700
CJ1,Flatwing,0,0,39000,0.66,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,784.0,136,1900,37005,373.7712965561792,198.0,37005,True,0.6517050881811062,True,700
CJ1,Flatwing,0,0,39000,0.66,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,625.0,111,1600,37005,371.5571606854021,197.0,37005,True,0.6478445359498225,True,700
CJ1,Flatwing,0,0,39000,0.65,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1256.0,211,2740,37001,372.793380268962,200.0,37001,True,0.65,False,700
CJ1,Flatwing,0,0,39000,0.65,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1239.0,209,2740,37000,372.793380268962,200.0,37000,True,0.65,False,700
CJ1,Flatwing,0,0,39000,0.65,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1106.0,188,2500,37005,372.793380268962,199.0,37005,True,0.65,False,700
CJ1,Flatwing,0,0,39000,0.65,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,944.0,162,2200,37005,372.793380268962,199.0,37005,True,0.65,False,700
CJ1,Flatwing,0,0,39000,0.65,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,784.0,136,1900,37005,372.793380268962,198.0,37005,True,0.65,False,700
CJ1,Flatwing,0,0,39000,0.65,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,625.0,111,1600,37005,371.5571606854021,197.0,37005,True,0.6478445359498225,True,700
CJ1,Flatwing,0,0,39000,0.64,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1264.0,215,2740,37001,367.0580974955933,196.0,37001,True,0.64,False,700
CJ1,Flatwing,0,0,39000,0.64,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1246.0,212,2740,37000,367.0580974955933,196.0,37000,True,0.64,False,700
CJ1,Flatwing,0,0,39000,0.64,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1111.0,190,2500,37005,367.0580974955933,196.0,37005,True,0.64,False,700
CJ1,Flatwing,0,0,39000,0.64,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,948.0,164,2200,37005,367.0580974955933,196.0,37005,True,0.64,False,700
CJ1,Flatwing,0,0,39000,0.64,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,787.0,137,1900,37005,367.0580974955933,196.0,37005,True,0.64,False,700
CJ1,Flatwing,0,0,39000,0.64,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,627.0,111,1600,37005,367.0580974955933,196.0,37005,True,0.64,False,700
CJ1,Flatwing,0,0,39000,0.63,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1275.0,219,2740,37001,361.3228147222247,193.0,37001,True,0.63,False,700
CJ1,Flatwing,0,0,39000,0.63,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1255.0,217,2740,37000,361.3228147222247,193.0,37000,True,0.63,False,700
CJ1,Flatwing,0,0,39000,0.63,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1118.0,194,2500,37005,361.3228147222247,193.0,37005,True,0.63,False,700
CJ1,Flatwing,0,0,39000,0.63,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,954.0,167,2200,37005,361.3228147222247,193.0,37005,True,0.63,False,700
CJ1,Flatwing,0,0,39000,0.63,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,791.0,140,1900,37005,361.3228147222247,193.0,37005,True,0.63,False,700
CJ1,Flatwing,0,0,39000,0.63,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,629.0,113,1600,37005,361.3228147222247,193.0,37005,True,0.63,False,700
CJ1,Flatwing,0,0,39000,0.62,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1285.0,224,2740,37001,355.587531948856,190.0,37001,True,0.62,False,700
CJ1,Flatwing,0,0,39000,0.62,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1264.0,221,2740,37000,355.587531948856,190.0,37000,True,0.62,False,700
CJ1,Flatwing,0,0,39000,0.62,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1126.0,198,2500,37005,355.587531948856,190.0,37005,True,0.62,False,700
CJ1,Flatwing,0,0,39000,0.62,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,960.0,170,2200,37005,355.587531948856,190.0,37005,True,0.62,False,700
CJ1,Flatwing,0,0,39000,0.62,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,795.0,142,1900,37005,355.587531948856,190.0,37005,True,0.62,False,700
CJ1,Flatwing,0,0,39000,0.62,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,632.0,114,1600,37005,355.587531948856,190.0,37005,True,0.62,False,700
CJ1,Flatwing,0,20,39000,0.68,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1288.0,215,2740,35002,380.5112412034098,198.0,35002,True,0.6634568097850121,True,700
CJ1,Flatwing,0,20,39000,0.68,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1273.0,214,2740,35001,378.69610560391453,197.0,35001,True,0.6602919517104918,True,700
CJ1,Flatwing,0,20,39000,0.68,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1138.0,193,2500,35003,376.75128254638355,196.0,35003,True,0.6569009714670039,True,700
CJ1,Flatwing,0,20,39000,0.68,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,975.0,167,2200,35003,374.66983785605515,195.0,35003,True,0.653271778674639,True,700
CJ1,Flatwing,0,20,39000,0.68,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,812.0,141,1900,35003,372.4408444197181,194.0,35003,True,0.6493853208931897,True,700
CJ1,Flatwing,0,20,39000,0.68,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,650.0,115,1600,35003,370.05032635375903,194.0,35003,True,0.6452172298671304,True,700
CJ1,Flatwing,0,20,39000,0.67,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1288.0,215,2740,35002,380.5112412034098,198.0,35002,True,0.6634568097850121,True,700
CJ1,Flatwing,0,20,39000,0.67,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1273.0,214,2740,35001,378.69610560391453,197.0,35001,True,0.6602919517104918,True,700
CJ1,Flatwing,0,20,39000,0.67,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1138.0,193,2500,35003,376.75128254638355,196.0,35003,True,0.6569009714670039,True,700
CJ1,Flatwing,0,20,39000,0.67,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,975.0,167,2200,35003,374.66983785605515,195.0,35003,True,0.653271778674639,True,700
CJ1,Flatwing,0,20,39000,0.67,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,812.0,141,1900,35003,372.4408444197181,194.0,35003,True,0.6493853208931897,True,700
CJ1,Flatwing,0,20,39000,0.67,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,650.0,115,1600,35003,370.05032635375903,194.0,35003,True,0.6452172298671304,True,700
CJ1,Flatwing,0,20,39000,0.66,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1288.0,215,2740,35002,378.5286630423306,198.0,35002,True,0.66,False,700
CJ1,Flatwing,0,20,39000,0.66,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1273.0,214,2740,35001,378.5286630423306,197.0,35001,True,0.66,False,700
CJ1,Flatwing,0,20,39000,0.66,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1138.0,193,2500,35003,376.75128254638355,196.0,35003,True,0.6569009714670039,True,700
CJ1,Flatwing,0,20,39000,0.66,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,975.0,167,2200,35003,374.66983785605515,195.0,35003,True,0.653271778674639,True,700
CJ1,Flatwing,0,20,39000,0.66,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,812.0,141,1900,35003,372.4408444197181,194.0,35003,True,0.6493853208931897,True,700
CJ1,Flatwing,0,20,39000,0.66,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,650.0,115,1600,35003,370.05032635375903,194.0,35003,True,0.6452172298671304,True,700
CJ1,Flatwing,0,20,39000,0.65,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1292.0,217,2740,35002,372.793380268962,197.0,35002,True,0.65,False,700
CJ1,Flatwing,0,20,39000,0.65,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1275.0,215,2740,35001,372.793380268962,197.0,35001,True,0.65,False,700
CJ1,Flatwing,0,20,39000,0.65,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1140.0,194,2500,35003,372.793380268962,196.0,35003,True,0.65,False,700
CJ1,Flatwing,0,20,39000,0.65,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,975.0,167,2200,35003,372.793380268962,195.0,35003,True,0.65,False,700
CJ1,Flatwing,0,20,39000,0.65,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,812.0,141,1900,35003,372.4408444197181,194.0,35003,True,0.6493853208931897,False,700
